geoid,countyfp,prc_caraccess_final,unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_poplatino_final,prc_poplatino_final_unreliable_flag,pop10,areakm,popdens,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,vbm_rate_youth,vbm_rate_asn,vbm_rate_tot,job_dens,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,pollvoter_dens,tot_elignonreg_prc_final,cvapdens,prc_white,prc_white_unreliable_flag,vbm_rate_lat
6057000103,57,0.987358616101,0,0.0710826024349,0,0.00536719465899,1,0.0,1,0.0725225814897,0,0.0725225814897,0,7893,72.5864775072,108.739262065,0.00617691993514,1,0.735268611684,0.761287083142,0.777569362494,0.0351251586111,0.0732013035849,0,0.07906794083,0,0.086039696751,0.155603513732,0.0795323140177,0.901034166776,0,0.74042461388
6057000401,57,0.985541227042,0,0.0786216125795,0,0.0242556038809,0,0.00552024088324,1,0.0685848109736,0,0.0685848109736,0,5744,19.7587214175,290.707069482,0.0251158266691,1,0.700589213858,0.821228652652,0.789301543114,0.0110162648518,0.105981112277,0,0.0687520910003,0,0.0633031752303,0.20877747505,0.064371065142,0.823519571763,0,0.734761387954
6057000900,57,0.962492053401,0,0.204714640199,0,0.0508474576271,0,0.0186440677966,1,0.0430992736077,0,0.0430992736077,0,4348,1328.53733653,3.27277215358,0.0180754917597,0,0.754745812597,0.765735483505,0.776807131244,0.0394509170608,0.126924521217,0,0.0363196125908,0,0.0463839461197,0.177230681458,0.0405370679686,0.832203389831,0,0.732279642365
6057000701,57,0.977302204929,0,0.0834473324213,0,0.00504981574997,1,0.000682407533779,1,0.0498157499659,0,0.0498157499659,0,7436,226.614923375,32.8133729644,0.0124720379207,1,0.827377804575,0.822941084544,0.831768297912,0.0409505133233,0.106529209622,0,0.0593694554388,0,0.0694010672692,0.112115547264,0.0774765514583,0.913197761703,0,0.846238408283
6057001206,57,0.926057906459,0,0.202914750901,1,0.0136098509397,1,0.0115035644848,1,0.399708360337,0,0.399708360337,0,6090,15.6344406217,389.524649289,0.162520729685,0,0.733807963981,0.815473881289,0.751511344722,0.114661437305,0.0747588726888,1,0.100615683733,0,0.0470936908138,0.256097708649,0.0423358602081,0.563188593649,0,0.694157663723
6057001204,57,0.981574539363,0,0.141581632653,0,0.0165816326531,1,0.0,1,0.0816326530612,0,0.0816326530612,0,2832,31.6331103362,89.5264477599,0.08785318181,1,0.699275947953,0.838393171059,0.689005817955,0.0131503056869,0.0794824399261,0,0.0695328858875,1,0.0351919826349,0.210006368286,0.025118848773,0.894982993197,0,0.680141559285
6057001205,57,0.991977077364,0,0.173173946154,1,0.0101130279595,1,0.0,1,0.205666895781,1,0.205666895781,1,4537,59.8125800396,75.8536080035,0.0764267721966,1,0.725098808501,0.776791000592,0.709725362194,0.0298188949129,0.0750160978751,0,0.0525480864565,0,0.0597297935819,0.198115764376,0.0458049595272,0.93991671624,0,0.631150983212
6057001203,57,0.959847036329,0,0.236617270323,1,0.0262039660057,1,0.0,1,0.245350520594,1,0.245350520594,1,2927,21.087296572,138.803947201,0.0925488915655,1,0.795012633874,0.832890455769,0.749665164694,0.0287230361057,0.0762123131418,1,0.0704815873793,1,0.0359030774408,0.232596836283,0.0290376461519,0.887393767705,0,0.659461907409
6057000102,57,0.991310644461,0,0.15760625591,1,0.0110735158413,1,0.0,1,0.0399876960935,0,0.0399876960935,0,6677,20.0589907993,332.868191965,0.00662241801995,1,0.774790061368,0.839787305125,0.801747033716,0.00980505248587,0.126406926407,0,0.0304521685635,0,0.0671834050015,0.141218808838,0.0668765257613,0.930944324823,0,0.740236269383
6057000802,57,0.97308633345,0,0.10930718534,0,0.0136730888751,1,0.00590428837787,1,0.1124922312,0,0.1124922312,0,6528,29.0903839817,224.404050634,0.0219396588393,1,0.831571593973,0.793611903791,0.790130878962,0.15036336371,0.138324787188,1,0.0829707893101,0,0.0711584159384,0.203352693694,0.07130926378,0.828931013052,0,0.816622539168
6057000402,57,0.963298969072,0,0.180847909873,0,0.0124518233027,1,0.0253483545805,1,0.100504002372,0,0.100504002372,0,6926,141.524794498,48.9384211762,0.030063849308,1,0.72170972424,0.59484528534,0.744707209799,0.0301072788096,0.161796667472,0,0.144974799881,0,0.0753374511414,0.248919895288,0.0736219966594,0.787281351912,0,0.650905853351
6057000300,57,0.985446985447,0,0.107246376812,0,0.00123660346249,1,0.0078318219291,1,0.080791426216,0,0.080791426216,0,2353,58.5862665974,40.1629961535,0.0236996016813,1,0.87960908315,0.873995499839,0.84535907541,0.00305686930442,0.0890125173853,0,0.0610057708162,0,0.0196412782604,0.153671605263,0.0244121803932,0.893239901072,0,0.809984916836
6057000501,57,0.818316100443,0,0.218086956522,0,0.00905946302092,1,0.00197661011366,1,0.0907593477187,0,0.0907593477187,0,6034,10.8054757434,558.420577057,0.026130473371,1,0.731441515857,0.795702973791,0.819483935532,0.268600761333,0.220317460317,0,0.0505682754077,0,0.0442665151626,0.324429193717,0.0613516638828,0.862296162082,0,0.815040592888
6057000105,57,0.933575978162,0,0.154493307839,0,0.0,1,0.000764818355641,1,0.0663823313109,1,0.0663823313109,1,2792,44.0448074323,63.3899922094,0.00732944897089,1,0.79829508595,0.736009273,0.755376069255,0.00594070827085,0.150331125828,0,0.093690248566,0,0.0284594469095,0.153489361179,0.0261467300527,0.866539196941,0,0.787592873147
6057000502,57,0.925409047161,0,0.219885667619,0,0.0222539812168,1,0.0,1,0.124336463863,0,0.124336463863,0,4664,11.1266820395,419.17257844,0.0277776841031,1,0.647376651847,0.688567582791,0.739353202739,0.0491982927673,0.2224797219,0,0.0737035524704,0,0.0502948722992,0.247820965035,0.0459334446871,0.831155573704,0,0.682280092952
6057000600,57,0.866688610928,0,0.280989227735,0,0.00718885727123,1,0.000149767859817,1,0.0895611801707,0,0.0895611801707,0,6237,14.7918120048,421.65219501,0.0234862162303,1,0.667126964592,0.678848714147,0.745634139508,0.120371438459,0.255641093709,0,0.0754830013479,0,0.0592728925361,0.390192667946,0.0669407683413,0.872697319155,0,0.710420708327
6057000104,57,0.966580976864,0,0.101535568787,0,0.0112817298652,1,0.0,1,0.0291444688186,0,0.0291444688186,0,3190,12.4499320044,256.226298977,0.0166427283014,1,0.777762779264,0.872108843537,0.823710336474,0.0100357596032,0.158984635939,0,0.0372923848323,0,0.0281743331029,0.210722146893,0.0341128099704,0.929802569727,0,0.811205434032
6057000200,57,0.996547756041,0,0.0802054523904,0,0.0197550375346,1,0.0,1,0.109631991079,1,0.109631991079,1,2700,196.021801879,13.7739780683,0.0320854279069,1,0.807845036189,0.845645290834,0.817721215362,0.00830545622332,0.0635593220339,0,0.0592651126037,0,0.0238053794039,0.149094144578,0.0266606706925,0.877123666535,0,0.788019917637
6057000801,57,0.987012987013,0,0.102452531646,0,0.0112994350282,1,0.0027274498344,1,0.0485096434833,0,0.0485096434833,0,4888,158.777898833,30.7851409795,0.015194593096,1,0.86687783562,0.895143396539,0.811212205093,0.0170723266813,0.065224625624,0,0.0621468926554,0,0.0532880454461,0.121108884935,0.0541564949248,0.920514319112,0,0.812982856352
6057000702,57,0.990129549661,0,0.0825734549139,0,0.0048125633232,1,0.00734549138804,1,0.0293819655522,0,0.0293819655522,0,3968,49.1791262603,80.6846380108,0.0100973245608,1,0.797389300198,0.732274351343,0.819286248105,0.0142461644942,0.10470964792,0,0.0666160081054,0,0.0360715349563,0.178672206096,0.0442631376076,0.894376899696,0,0.792284541262
