N,geocode.b,geocode.bg,geocode.t,idnum,lon,lat,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,geocode.b1,geocode.b2,geocode.b3,geocode.bg1,geocode.bg2,geocode.bg3,transit.dist.1,transit.dist.2,transit.dist.3,transit.score1,transit.score2,transit.score3,transit.score.std,prc.latino.std,dens.cvap.std,prc.asian.std,prc.AmInd.std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens.poll.std,dens.work.std,popDens.std,final_composite_score,droppoff_score,geometry,cost_adjustment,composite_cost_adjustment,dropoff_cost_adjustment,dropbox_cost_adjustment
16,6.07e+13,60670013003,6067001300,3053,-121.4764889,38.57154551,6,67,1300,3000,6.07e+13,Block 3000,G5040,U,77068.0,U,S,8311,0,38.5718332,-121.476788,6.07e+13,6.07e+13,6.07e+13,60670013003,60670013003,60670014003,0.120528094,0.204953475,0.197295717,1.0,1.0,1.0,0.522777286,0.370253165,0.373417722,0.439873418,0.471153846,0.879746835,0.306962025,0.57278481,0.433544304,0.857594937,0.868131868,0.560126582,0.737362637,0.902090209,0.990720305,0.205064543,0.238672138,POINT (-121.4764889 38.57154551),0.5,0.5,0.5,
125,6.07e+13,60670042012,6067004201,2388,-121.5023149,38.48485465,6,67,4201,2001,6.07e+13,Block 2001,G5040,U,77068.0,U,S,13683,0,38.4849451,-121.5022382,6.07e+13,6.07e+13,6.07e+13,60670042012,60670042012,60670042012,0.260365248,0.258089071,0.352917255,1.0,1.0,1.0,0.871371575,0.892405063,0.512658228,0.67721519,0.246794872,0.471518987,0.851265823,0.544303797,0.800632911,0.610759494,0.405494505,0.408227848,0.576923077,0.693069307,0.866422552,0.185754625,0.210248296,POINT (-121.5023149 38.48485465),0.75,0.75,0.75,
157,6.07e+13,60670047021,6067004702,2571,-121.4476515,38.50711425,6,67,4702,1005,6.07e+13,Block 1005,G5040,U,77068.0,U,S,53378,0,38.5058845,-121.4476872,6.07e+13,6.07e+13,6.07e+13,60670047021,60670047021,60670047021,0.144776469,0.148127933,0.188798335,1.0,1.0,1.0,0.481702738,0.920886076,0.297468354,0.78164557,0.105769231,0.857594937,0.984177215,0.870253165,0.487341772,0.892405063,0.959340659,0.607594937,0.781318681,0.594059406,0.724819422,0.259347475,0.295803172,POINT (-121.4476515 38.50711425),0.5,0.5,0.5,
195,6.07e+13,60670052021,6067005202,2958,-121.3934955,38.55813366,6,67,5202,1007,6.07e+13,Block 1007,G5040,U,77068.0,U,S,55321,0,38.5584137,-121.3923654,6.07e+13,6.07e+13,6.07e+13,60670052021,60670052021,60670052043,0.052248652,0.091051597,0.15300759,0.25,0.25,0.25,0.296307838,0.607594937,0.449367089,0.424050633,0.176282051,0.984177215,0.044303797,0.452531646,0.329113924,0.313291139,0.395604396,0.664556962,0.914285714,0.00660066,0.380066212,0.196312839,0.236186257,POINT (-121.3934955 38.55813366),0.5,0.5,0.5,
286,6.07e+13,60670060032,6067006003,3485,-121.3764501,38.63030589,6,67,6003,2009,6.07e+13,Block 2009,G5040,U,77068.0,U,S,74958,0,38.6298752,-121.3755201,6.07e+13,6.07e+13,6.07e+13,60670060032,60670060032,60670060032,0.145318821,0.161332899,0.16231889,1.0,1.0,1.0,0.46897061,0.329113924,0.474683544,0.287974684,0.153846154,0.401898734,0.582278481,0.825949367,0.455696203,0.89556962,0.420879121,0.623417722,0.668131868,0.633663366,0.520967095,0.187239811,0.224644874,POINT (-121.3764501 38.63030589),0.75,0.75,0.75,
336,6.07e+13,60670070041,6067007004,3471,-121.5052303,38.62877469,6,67,7004,1002,6.07e+13,Block 1002,G5040,U,77068.0,U,S,154555,0,38.63,-121.5020865,6.07e+13,6.07e+13,6.07e+13,60670070041,60670070041,60670070041,0.098428542,0.106292032,0.182796829,1.0,1.0,1.0,0.387517403,0.952531646,0.863924051,0.5,0.737179487,0.96835443,0.759493671,0.594936709,0.297468354,0.544303797,0.953846154,0.806962025,0.850549451,0.711771177,0.96584069,0.234640562,0.283058283,POINT (-121.5052303 38.62877469),0.5,0.5,0.5,
472,6.07e+13,60670074293,6067007429,4005,-121.3592395,38.69528054,6,67,7429,3008,6.07e+13,Block 3008,G5040,U,77068.0,U,S,20921,0,38.6955202,-121.3589904,6.07e+13,6.07e+13,6.07e+13,60670074293,60670074293,60670074293,0.072734851,0.093831762,0.105084228,1.0,1.0,1.0,0.271650841,0.768987342,0.506329114,0.661392405,0.455128205,0.908227848,0.67721519,0.689873418,0.512658228,0.686708861,0.745054945,0.96835443,0.321978022,0.628162816,0.76078451,0.202546529,0.260647795,POINT (-121.3592395 38.69528054),0.5,0.5,0.5,
557,6.07e+13,60670081194,6067008119,3776,-121.2942881,38.6671999,6,67,8119,4001,6.07e+13,Block 4001,G5040,U,77068.0,U,S,31681,0,38.6665443,-121.2932508,6.07e+13,6.07e+13,6.07e+13,60670081194,60670081194,60670081195,0.106708483,0.116979254,0.194101173,1.0,1.0,1.0,0.417788911,0.348101266,0.844936709,0.018987342,0.230769231,0.667721519,0.183544304,0.42721519,0.876582278,0.493670886,0.716483516,0.367088608,0.57032967,0.550055006,0.444422151,0.150422312,0.172447628,POINT (-121.2942881 38.6671999),1.0,1.0,1.0,
620,6.07e+13,60670082041,6067008204,3842,-121.2299826,38.67506702,6,67,8204,1013,6.07e+13,Block 1013,G5040,U,77068.0,U,S,32366,0,38.6748375,-121.2286219,6.07e+13,6.07e+13,6.07e+13,60670082041,60670082041,60670082041,0.225207134,0.247154971,0.309232091,0.25,0.25,1.0,0.781594196,0.164556962,0.610759494,0.094936709,0.522435897,0.363924051,0.113924051,0.227848101,0.734177215,0.651898734,0.33956044,0.164556962,0.924175824,0.752475248,0.468047753,0.13994422,0.149817638,POINT (-121.2299826 38.67506702),1.0,1.0,1.25,
678,6.07e+13,60670085062,6067008506,3852,-121.1379363,38.67596576,6,67,8506,2001,6.07e+13,Block 2001,G5040,U,77068.0,U,S,413423,0,38.6728757,-121.1426985,6.07e+13,6.07e+13,6.07e+13,60670084023,60670085013,60670085013,0.054792945,0.115849361,0.240802059,0.25,0.25,1.0,0.411444365,0.050632911,0.085443038,0.905063291,0.669871795,0.212025316,0.389240506,0.189873418,0.079113924,0.863924051,0.030769231,0.971518987,0.048351648,0.907590759,0.450943018,0.081888441,0.14017958,POINT (-121.1379363 38.67596576),2.0,2.0,1.25,
709,6.07e+13,60670086003,6067008600,2491,-121.0984508,38.49639394,6,67,8600,3012,6.07e+13,Block 3012,G5040,U,73342.0,C,S,6691542,0,38.5041081,-121.0770492,6.07e+13,6.07e+13,6.07e+13,60670086001,60670086001,60670086002,7.231609706,7.249186952,7.686189628,1.0,0.75,0.75,0.0,0.098101266,0.96835443,0.107594937,0.788461538,0.063291139,0.414556962,0.778481013,0.259493671,0.183544304,0.232967033,0.047468354,0.964835165,0.445544554,0.255969101,0.125295173,0.128143274,POINT (-121.0984508 38.49639394),1.25,1.25,1.25,
757,6.07e+13,60670090061,6067009006,3122,-121.3111675,38.58064611,6,67,9006,1016,6.07e+13,Block 1016,G5040,U,77068.0,U,S,163748,0,38.5786213,-121.3119698,6.07e+13,6.07e+13,6.07e+13,60670090081,60670090061,60670090061,0.222521013,0.230348772,0.232572087,1.0,1.0,1.0,0.685441872,0.563291139,0.601265823,0.452531646,0.884615385,0.582278481,0.841772152,0.579113924,0.889240506,0.642405063,0.063736264,0.566455696,0.391208791,0.95049505,0.26850923,0.165497844,0.199485186,POINT (-121.3111675 38.58064611),0.75,0.75,0.75,
810,6.07e+13,60670093083,6067009308,1851,-121.372455,38.41442284,6,67,9308,3005,6.07e+13,Block 3005,G5040,U,77068.0,U,S,230545,0,38.4120781,-121.373864,6.07e+13,6.07e+13,6.07e+13,60670093071,60670093083,60670093083,3.414190151,3.427809561,3.550774137,1.0,1.0,1.0,0.0,0.610759494,0.879746835,0.262658228,0.705128205,0.490506329,0.082278481,0.313291139,0.958860759,0.658227848,0.549450549,0.370253165,0.715384615,0.944994499,0.334570626,0.167290166,0.189505355,POINT (-121.372455 38.41442284),0.75,0.75,1.0,
844,6.07e+13,60670093202,6067009320,2228,-121.4009198,38.46447886,6,67,9320,2001,6.07e+13,Block 2001,G5040,U,77068.0,U,S,22127,0,38.4645496,-121.4014192,6.07e+13,6.07e+13,6.07e+13,60670093202,60670093191,60670093191,0.419331914,0.477174988,0.425014461,1.0,1.0,1.0,1.321521363,0.753164557,0.417721519,0.965189873,0.03525641,0.553797468,0.89556962,0.642405063,0.363924051,0.680379747,0.261538462,0.594936709,0.440659341,0.448844884,0.6035313,0.184224371,0.219920573,POINT (-121.4009198 38.46447886),0.75,0.75,0.75,
892,6.07e+13,60670095041,6067009504,544,-121.305345,38.24962847,6,67,9504,1044,6.07e+13,Block 1044,G5040,U,32451.0,C,S,25297,0,38.2506099,-121.3053518,6.07e+13,6.07e+13,6.07e+13,60670095024,60670095041,60670095041,15.30884649,15.15668436,15.31009498,1.0,1.0,1.0,0.0,0.933544304,0.03164557,0.025316456,0.150641026,0.509493671,0.566455696,0.667721519,0.598101266,0.693037975,0.183516484,0.75,0.613186813,0.897689769,0.0,0.205019057,0.250019057,POINT (-121.305345 38.24962847),0.5,0.5,0.5,
950,6.07e+13,60670096323,6067009632,1791,-121.4181778,38.40669735,6,67,9632,3000,6.07e+13,Block 3000,G5040,U,77068.0,U,S,131587,0,38.4070977,-121.4194418,6.07e+13,6.07e+13,6.07e+13,60670096323,60670096323,60670096381,3.009652101,3.218982293,3.210582638,1.0,1.0,1.0,0.0,0.357594937,0.892405063,0.971518987,0.519230769,0.487341772,0.78164557,0.224683544,0.085443038,0.294303797,0.035164835,0.325949367,0.917582418,0.757975798,0.0,0.136890388,0.15644735,POINT (-121.4181778 38.40669735),1.25,1.25,1.25,
